,batter,batsman_run,Category,Double_Runs,Contributed Runs,Ranks of Batsman,Performance Group,Length of Player name,corr btw LoPN and Runs,Modified Runs
569,V Kohli,6634,High,13268,2.3610305396488704,1.0,Platinum,7,-0.09476268319619681,6634
462,S Dhawan,6244,High,12488,2.2222301310774113,2.0,Platinum,8,-0.09476268319619681,6244
130,DA Warner,5883,High,11766,2.0937507785279323,3.0,Platinum,9,-0.09476268319619681,5883
430,RG Sharma,5881,High,11762,2.0930389815608996,4.0,Platinum,9,-0.09476268319619681,5881
493,SK Raina,5536,High,11072,1.9702540047476857,5.0,Platinum,8,-0.09476268319619681,5536
27,AB de Villiers,5181,High,10362,1.8439100430993065,6.0,Platinum,14,-0.09476268319619681,5181
108,CH Gayle,4997,High,9994,1.7784247221322589,7.0,Platinum,8,-0.09476268319619681,4997
339,MS Dhoni,4978,High,9956,1.7716626509454443,8.0,Platinum,8,-0.09476268319619681,4978
452,RV Uthappa,4954,High,9908,1.7631210873410468,9.0,Platinum,10,-0.09476268319619681,4954
256,KD Karthik,4377,High,8754,1.5577676623519907,10.0,Platinum,10,-0.09476268319619681,4377
174,G Gambhir,4217,High,8434,1.5008239049893408,11.0,Platinum,9,-0.09476268319619681,4217
60,AT Rayudu,4190,High,8380,1.4912146459343938,12.0,Platinum,9,-0.09476268319619681,4190
46,AM Rahane,4074,High,8148,1.4499304218464726,13.0,Platinum,9,-0.09476268319619681,4074
263,KL Rahul,3895,High,7790,1.386224593297008,14.0,Platinum,8,-0.09476268319619681,3895
511,SR Watson,3880,High,7760,1.3808861160442596,15.0,Platinum,9,-0.09476268319619681,3880
328,MK Pandey,3657,High,7314,1.3015207542200662,16.0,Platinum,9,-0.09476268319619681,3657
519,SV Samson,3526,High,7052,1.2548980528793967,17.0,Platinum,9,-0.09476268319619681,3526
251,KA Pollard,3437,High,6874,1.2232230878464228,18.0,Platinum,10,-0.09476268319619681,3437
169,F du Plessis,3403,High,6806,1.2111225394068594,19.0,Platinum,12,-0.09476268319619681,3403
597,YK Pathan,3222,High,6444,1.146704913890362,20.0,Platinum,9,-0.09476268319619681,3222
88,BB McCullum,2882,High,5764,1.025699429494731,21.0,Platinum,11,-0.09476268319619681,2882
441,RR Pant,2851,High,5702,1.0146665765057175,22.0,Platinum,7,-0.09476268319619681,2851
384,PA Patel,2848,High,5696,1.0135988810551677,23.0,Platinum,8,-0.09476268319619681,2848
219,JC Buttler,2832,High,5664,1.0079045053189029,24.0,Platinum,10,-0.09476268319619681,2832
513,SS Iyer,2780,High,5560,0.9893977841760416,25.0,Platinum,7,-0.09476268319619681,2780
404,Q de Kock,2767,High,5534,0.9847711038903263,26.0,Platinum,9,-0.09476268319619681,2767
603,Yuvraj Singh,2754,High,5508,0.9801444236046111,27.0,Platinum,12,-0.09476268319619681,2754
571,V Sehwag,2728,High,5456,0.9708910630331804,28.0,Platinum,8,-0.09476268319619681,2728
480,SA Yadav,2644,High,5288,0.9409955904177891,29.0,Platinum,8,-0.09476268319619681,2644
308,M Vijay,2619,High,5238,0.9320981283298752,30.0,Platinum,7,-0.09476268319619681,2619
423,RA Jadeja,2502,High,5004,0.8904580057584375,31.0,Platinum,9,-0.09476268319619681,2502
509,SPD Smith,2495,High,4990,0.8879667163738215,32.0,Platinum,9,-0.09476268319619681,2495
490,SE Marsh,2489,High,4978,0.8858313254727221,33.0,Platinum,8,-0.09476268319619681,2489
129,DA Miller,2455,High,4910,0.873730777033159,34.0,Platinum,9,-0.09476268319619681,2455
226,JH Kallis,2427,High,4854,0.8637656194946953,35.0,Platinum,9,-0.09476268319619681,2427
587,WP Saha,2427,High,4854,0.8637656194946953,35.0,Platinum,7,-0.09476268319619681,2427
159,DR Smith,2385,High,4770,0.8488178831869997,37.0,Platinum,8,-0.09476268319619681,2385
311,MA Agarwal,2335,High,4670,0.8310229590111717,38.0,Platinum,10,-0.09476268319619681,2335
510,SR Tendulkar,2334,High,4668,0.8306670605276552,39.0,Platinum,12,-0.09476268319619681,2334
183,GJ Maxwell,2320,High,4640,0.8256844817584232,40.0,Platinum,10,-0.09476268319619681,2320
358,N Rana,2181,High,4362,0.7762145925496211,41.0,Platinum,6,-0.09476268319619681,2181
409,R Dravid,2174,High,4348,0.7737233031650051,42.0,Platinum,8,-0.09476268319619681,2174
272,KS Williamson,2105,High,4210,0.7491663078023625,43.0,Platinum,13,-0.09476268319619681,2105
40,AJ Finch,2092,High,4184,0.7445396275166472,44.0,Platinum,8,-0.09476268319619681,2092
29,AC Gilchrist,2069,High,4138,0.7363539623957662,45.0,Platinum,12,-0.09476268319619681,2069
36,AD Russell,2039,High,4078,0.7256770078902693,46.0,Platinum,10,-0.09476268319619681,2039
236,JP Duminy,2029,High,4058,0.7221180230551038,47.0,Platinum,9,-0.09476268319619681,2029
319,MEK Hussey,1977,High,3954,0.7036113019122425,48.0,Platinum,10,-0.09476268319619681,1977
191,HH Pandya,1972,High,3944,0.7018318094946597,49.0,Platinum,9,-0.09476268319619681,1972
534,Shubman Gill,1900,High,3800,0.6762071186814673,50.0,Platinum,12,-0.09476268319619681,1900
209,Ishan Kishan,1870,High,3740,0.6655301641759704,51.0,Platinum,12,-0.09476268319619681,1870
155,DPMD Jayawardene,1808,High,3616,0.6434644581979436,52.0,Platinum,16,-0.09476268319619681,1808
424,RA Tripathi,1798,High,3596,0.639905473362778,53.0,Platinum,11,-0.09476268319619681,1798
329,MK Tiwary,1695,High,3390,0.6032479295605722,54.0,Platinum,9,-0.09476268319619681,1695
343,Mandeep Singh,1692,High,3384,0.6021802341100224,55.0,Platinum,13,-0.09476268319619681,1692
255,KC Sangakkara,1687,High,3374,0.6004007416924396,56.0,Platinum,13,-0.09476268319619681,1687
396,PP Shaw,1588,High,3176,0.5651667918243001,57.0,Platinum,7,-0.09476268319619681,1588
136,DJ Bravo,1560,High,3120,0.5552016342858364,58.0,Platinum,8,-0.09476268319619681,1560
369,NV Ojha,1554,High,3108,0.5530662433847369,59.0,Platinum,7,-0.09476268319619681,1554
261,KK Nair,1496,High,2992,0.5324241313407764,60.0,Platinum,7,-0.09476268319619681,1496
516,SS Tiwary,1494,High,2988,0.5317123343737432,61.0,Platinum,9,-0.09476268319619681,1494
460,S Badrinath,1441,High,2882,0.5128497147473655,62.0,Platinum,11,-0.09476268319619681,1441
166,EJG Morgan,1406,High,2812,0.5003932678242857,63.0,Platinum,10,-0.09476268319619681,1406
94,BJ Hodge,1400,High,2800,0.49825787692318646,64.0,Platinum,8,-0.09476268319619681,1400
486,SC Ganguly,1349,High,2698,0.4801070542638418,65.0,Platinum,10,-0.09476268319619681,1349
106,CA Lynn,1329,High,2658,0.4729890845935105,66.0,Platinum,7,-0.09476268319619681,1329
257,KH Pandya,1326,High,2652,0.4719213891429609,67.0,Platinum,9,-0.09476268319619681,1326
